Item Identifier,Item Fat Content,Item Type,Outlet Identifier,Outlet Size,Outlet Location Type,Outlet Type,Outlet Establishment Year,Item Weight,Item Visibility,Item MRP,Item Outlet Sales
FDP10,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.127469857,107.7622,4022.7636
DRI11,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.034237682,113.2834,2303.668
FDW12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.035399923,144.5444,4064.0432
FDV20,Regular,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.059511812,128.0678,2797.6916
FDX10,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.123111453,36.9874,388.1614
FDB34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.026480954,87.6198,2180.495
FDF09,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.012090074,38.2848,484.7024
FDY45,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.026015519,255.8356,2543.356
FDR12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.031382044,171.3764,3091.9752
FDQ49,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.039057677,155.963,3285.723
NCP18,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.028459761,149.9708,4363.6532
FDD10,Regular,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.045797829,178.5344,2854.9504
FDX34,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.071636937,121.7098,4097.3332
FDY25,Low Fat,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.033809913,180.5976,7968.2944
NCR53,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.144338493,224.4404,6976.2524
FDH35,Low Fat,Starchy Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.059956876,165.4526,5262.4832
DRK12,Low Fat,Soft Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.041683481,31.29,898.83
FDR07,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.077367431,97.0094,1808.9786
NCB30,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.025578526,198.8084,5555.4352
FDQ28,Regular,Frozen Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.060134441,153.0656,6024.1584
FDT12,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.049381406,226.8062,4739.8302
NCX06,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.01561108,182.5976,5070.7328
FDE40,Regular,Dairy,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.098663652,62.9194,2105.2596
FDX49,reg,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.101338651,232.63,5359.69
FDI24,Low Fat,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.078362484,177.937,6704.606
FDX25,Low Fat,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.101561568,181.9292,3101.2964
NCX42,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.005949644,165.6526,4769.1254
FDG33,Regular,Seafood,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.13956116,170.4764,3435.528
DRM47,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.04357366,192.8846,2293.0152
FDX21,LF,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.084554569,109.8912,2074.6328
NCU05,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.058451805,79.9618,241.6854
FDH19,Low Fat,Meat,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.03292824,173.1738,7298.4996
FDZ10,Low Fat,Snack Foods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.044248175,126.202,3668.558
NCF07,Low Fat,Household,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.031867464,101.0016,2125.2336
FDM25,Regular,Breakfast,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.060371962,174.0712,3866.9664
FDV60,Regular,Baking Goods,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.11679292,196.211,5499.508
FDV13,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.02747716,87.9856,3251.7672
FDM50,Regular,Canned,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.029943463,60.222,1677.816
FDY31,Low Fat,Fruits and Vegetables,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.043351896,146.6418,4414.254
DRQ35,Low Fat,Hard Drinks,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.042086652,122.4388,5448.9072
NCW17,Low Fat,Health and Hygiene,OUT027,Medium,Tier 3,Supermarket Type3,1985,0,0.019292355,129.9994,3340.9844
